Record Date,Security Type Description,Security Class Description,Securities Sold Count,Gross Sales Amount,Returned Sales Amount,Net Sales Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-12-31,Marketable,Note,6096,206581400.00,20366300.00,186215100.00,202212,5,2023,1,2022,4,12,31
2022-11-30,Savings Bond,EE,21370,13873454.73,420994.50,13452460.23,202211,1,2023,1,2022,4,11,30
2022-11-30,Savings Bond,I,276331,1053937943.14,45355295.78,1008582647.36,202211,2,2023,1,2022,4,11,30
2022-11-30,Marketable,Bill,182846,11416402800.00,173030100.00,11243372700.00,202211,3,2023,1,2022,4,11,30
2022-11-30,Marketable,Bond,1427,59557400.00,1298400.00,58259000.00,202211,4,2023,1,2022,4,11,30
2022-11-30,Marketable,Note,17586,769729400.00,5536400.00,764193000.00,202211,5,2023,1,2022,4,11,30
2022-10-31,Savings Bond,EE,19474,18447598.28,786881.20,17660717.08,202210,1,2023,1,2022,4,10,31
2022-10-31,Savings Bond,I,1048630,6914134569.71,132248201.30,6781886368.41,202210,2,2023,1,2022,4,10,31
2022-10-31,Marketable,Bill,145814,9417029400.00,78794700.00,9338234700.00,202210,3,2023,1,2022,4,10,31
2022-10-31,Marketable,Bond,609,15089800.00,620100.00,14469700.00,202210,4,2023,1,2022,4,10,31
2022-10-31,Marketable,Note,23721,991037100.00,6396600.00,984640500.00,202210,5,2023,1,2022,4,10,31
2022-09-30,Savings Bond,EE,19217,10859860.05,413337.33,10446522.72,202209,1,2022,4,2022,3,09,30
2022-09-30,Savings Bond,I,471706,2402031419.61,53072380.56,2348959039.05,202209,2,2022,4,2022,3,09,30
2022-09-30,Marketable,Bill,103139,7812073100.00,67558400.00,7744514700.00,202209,3,2022,4,2022,3,09,30
2022-09-30,Marketable,Bond,556,8400700.00,739100.00,7661600.00,202209,4,2022,4,2022,3,09,30
2022-09-30,Marketable,Note,18082,842852900.00,3610800.00,839242100.00,202209,5,2022,4,2022,3,09,30
2022-08-31,Savings Bond,EE,18813,10567710.75,312090.83,10255619.92,202208,1,2022,4,2022,3,08,31
2022-08-31,Savings Bond,I,453055,2299333759.95,50930852.50,2248402907.45,202208,2,2022,4,2022,3,08,31
2022-08-31,Marketable,Bill,78722,7152486700.00,71414300.00,7081072400.00,202208,3,2022,4,2022,3,08,31
2022-08-31,Marketable,Bond,1534,39868300.00,5104900.00,34763400.00,202208,4,2022,4,2022,3,08,31
2022-08-31,Marketable,Note,14403,802940700.00,3560100.00,799380600.00,202208,5,2022,4,2022,3,08,31
2022-07-31,Savings Bond,EE,17840,9220358.59,301810.00,8918548.59,202207,1,2022,4,2022,3,07,31
